epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,362.082,2.18537,1.79193,1.02604,0.48418,0.53846,0.46826,0.14807,2.6751,2.09279,0.95911,0.0003119,0.0003119,0.0003119
116,364.653,2.07575,1.7419,1.03383,0.48148,0.57692,0.46781,0.14859,2.66522,2.13259,0.95875,0.00031025,0.00031025,0.00031025
117,367.251,2.10536,1.73607,1.03645,0.42838,0.53846,0.41197,0.14179,2.66191,2.13803,0.95713,0.0003086,0.0003086,0.0003086
118,369.807,2.08579,1.74673,0.98802,0.46409,0.53846,0.42403,0.14672,2.63282,2.14515,0.95097,0.00030695,0.00030695,0.00030695
119,372.37,2.19723,1.87443,1.03801,0.47216,0.57692,0.45106,0.15217,2.63374,2.14667,0.95051,0.0003053,0.0003053,0.0003053
120,374.92,2.19059,1.8928,1.05559,0.51748,0.57692,0.45006,0.15862,2.59577,2.11543,0.94018,0.00030365,0.00030365,0.00030365
121,378.085,2.08918,1.64041,1.00476,0.46603,0.57692,0.44528,0.14987,2.57719,2.07749,0.93832,0.000302,0.000302,0.000302
122,381.104,2.07265,1.76685,0.96771,0.47259,0.57692,0.48582,0.16088,2.58698,2.03975,0.94063,0.00030035,0.00030035,0.00030035
123,383.639,2.13434,1.75464,0.96476,0.47722,0.57692,0.4951,0.1705,2.57457,2.01389,0.94101,0.0002987,0.0002987,0.0002987
124,386.336,2.04782,1.67535,1.01271,0.52004,0.57692,0.49836,0.17045,2.5647,2.00433,0.93947,0.00029705,0.00029705,0.00029705
125,389.228,2.20551,1.82223,1.01903,0.53804,0.57692,0.49405,0.17799,2.54912,2.00294,0.93786,0.0002954,0.0002954,0.0002954
126,391.862,2.14796,1.87575,1.06871,0.54053,0.57692,0.50062,0.17973,2.54552,2.03677,0.93784,0.00029375,0.00029375,0.00029375
